"sentence","subject_name","predicate","object_name"
Identification of phenanthroindolizines and phenanthroquinolizidines as novel potent anti-coronaviral agents for porcine enteropathogenic coronavirus transmissible gastroenteritis virus and human severe acute respiratory syndrome coronavirus.,Anti-Anxiety Agents,TREATS,Transmissible gastroenteritis virus
Identification of phenanthroindolizines and phenanthroquinolizidines as novel potent anti-coronaviral agents for porcine enteropathogenic coronavirus transmissible gastroenteritis virus and human severe acute respiratory syndrome coronavirus.,Anti-Anxiety Agents,TREATS,SARS coronavirus
Antiviral drugs targeting CoV infections are lacking.,Antiviral Agents,TREATS,Coronavirus Infections
"Importantly, this hDPP4-expressing transgenic mouse model will be applicable for studying the pathogenesis of MERS-CoV infection and investigating the efficacy of vaccines and antiviral agents designed to combat MERS-CoV infection.",Antiviral Agents,TREATS,Coronavirus Infections
Mutational analysis in a replicon system showed that the N7-MTase activity was important for SARS virus replication/transcription and can thus be used as an attractive drug target to develop antivirals for control of coronaviruses including the deadly SARS virus.,Antiviral Agents,TREATS,Genus: Coronavirus
The results of this study provide support for further research to develop broad-spectrum antiviral agents for multiple coronavirus infections.,Antiviral Agents,TREATS,Coronavirus Infections
"The spread of severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV) into human populations demonstrates the zoonotic potential of emerging coronaviruses, and there are currently no vaccines or effective antivirals for human coronaviruses.",Antiviral Agents,TREATS,Human coronavirus
There is currently an urgent need to identify effective antiviral agents that will prevent and treat severe acute respiratory syndrome coronavirus (SARS-CoV) infection.,Antiviral Agents,TREATS,SARS coronavirus
Two coronaviruses causing severe respiratory disease and high mortality rates emerging within the past dozen years reinforces the need for clinically efficacious antivirals targeting coronaviruses.,Antiviral Agents,TREATS,Genus: Coronavirus
This is a case report of use of lopinavir/ritonavir-based combination antiviral therapy for a patient with MERS-CoV infection.,Antiviral Therapy,USES,Lopinavir+ritonavir
Monospecific antisera were prepared in mice to human coronavirus OC43 and neonatal calf diarrhoea coronavirus (NCDCV) which had been previously adapted to growth in suckling mouse brain.,Brain,PART_OF,House mice
"These 5 isolates exhibited typical properties of HRCV; distinctive morphology, resistant to BUDR, chloroform sensitivity, and electron microscopic features of growth in L132 cells.",Bromodeoxyuridine,NEG_TREATS,Human coronavirus
"In cells inoculated with EBNV, cytoplasmic immunofluorescence was found using antisera for human coronaviruses OC43 and 229E as well as the porcine transmissible gastroenteric virus and avian (chicken) bronchitis virus.",Chickens,ISA,Aves
"INTERPRETATION: In patients with severe MERS-CoV infection, ribavirin and interferon alfa-2a therapy is associated with significantly improved survival at 14 days, but not at 28 days.",Coronavirus Infections,PROCESS_OF,Patients
This is a case report of use of lopinavir/ritonavir-based combination antiviral therapy for a patient with MERS-CoV infection.,Coronavirus Infections,PROCESS_OF,Patients
"Vaccinates and controls (n = 5) were orally inoculated with virulent CCV virus and treated with dexamethasone on days 0, 2, 4, and 6 after virus challenge.","Coronavirus, Canine",ISA,Virus
"Previously, in vitro studies have shown that cyclosporin (CsA) and FK506 inhibit virus replication in diverse coronaviruses.",Cyclosporine,TREATS,Genus: Coronavirus
"In cells inoculated with EBNV, cytoplasmic immunofluorescence was found using antisera for human coronaviruses OC43 and 229E as well as the porcine transmissible gastroenteric virus and avian (chicken) bronchitis virus.",Cytoplasmic,LOCATION_OF,Immunofluorescence
Altered pathogenesis of porcine respiratory coronavirus in pigs due to immunosuppressive effects of dexamethasone: implications for corticosteroid use in treatment of severe acute respiratory syndrome coronavirus.,Dexamethasone,TREATS,SARS coronavirus
"Vaccinates and controls (n = 5) were orally inoculated with virulent CCV virus and treated with dexamethasone on days 0, 2, 4, and 6 after virus challenge.",Dexamethasone,TREATS,"Coronavirus, Canine"
"Vaccinates and controls (n = 5) were orally inoculated with virulent CCV virus and treated with dexamethasone on days 0, 2, 4, and 6 after virus challenge.",Dexamethasone,TREATS,Virus
Exploring the binding mechanism of the main proteinase in SARS-associated coronavirus and its implication to anti-SARS drug design.,Endopeptidases|ERVK-7|ERVK-8|ERVK-10|ERVK-9|ERVK-21|ERVK-18|ERVK-25|ERVK-24|ERVK-19,TREATS,SARS coronavirus
"In this study, a detailed in silico analysis of the ORF1ab, encoding the 7,182-amino acid replicase polyprotein in the CoV-HKU1 genome showed that the replicase polyprotein of CoV-HKU1 is cleaved by its papain-like proteases and 3C-like protease (3CL(pro)) into 16 polypeptides homologous to the corresponding polypeptides in other coronaviruses.",Endopeptidases|ERVK-7|ERVK-8|ERVK-10|ERVK-9|ERVK-21|ERVK-18|ERVK-25|ERVK-24|ERVK-19,TREATS,Genus: Coronavirus
"The characterization of proteolytic processing, DUB and IFN antagonist activities of MERS-CoV PLpro would reveal the interactions between MERS-CoV and its host, and be applicable to develop strategies targeting PLpro for the effective control of MERS-CoV infection.",Endopeptidases|ERVK-7|ERVK-8|ERVK-10|ERVK-9|ERVK-21|ERVK-18|ERVK-25|ERVK-24|ERVK-19,TREATS,Coronavirus Infections
"Here, we identify a novel glycan receptor for enteric avian coronaviruses, which will further support the development of vaccines.",Enteric coronavirus,PROCESS_OF,Aves
"Previously, in vitro studies have shown that cyclosporin (CsA) and FK506 inhibit virus replication in diverse coronaviruses.",FK-506,DISRUPTS,Virus Replication
"We then look ahead to future applications of these viral entry/fusion inhibitors, either alone or in combination with specific and nonspecific MERS-CoV replication inhibitors, for the treatment and prevention of MERS-CoV infection.",Fusion inhibitor,PREVENTS,Coronavirus Infections
"Therefore, the HR2P analogues have good potential to be further developed into effective viral fusion inhibitors for treating MERS-CoV infection.",Fusion inhibitor,TREATS,Coronavirus Infections
These data indicate that saracatinib alone or in combination with gemcitabine can provide a new therapeutic option for the treatment of MERS-CoV infection.,gemcitabine,TREATS,Coronavirus Infections
Two coronaviruses causing severe respiratory disease and high mortality rates emerging within the past dozen years reinforces the need for clinically efficacious antivirals targeting coronaviruses.,Genus: Coronavirus,CAUSES,Respiration Disorders
The recent introduction of the porcine epidemic diarrhea virus (PEDV) into the North American swine herd has highlighted again the need for effective vaccines for swine coronaviruses.,Genus: Coronavirus,PROCESS_OF,Family suidae
Vaccines for porcine epidemic diarrhea virus and other swine coronaviruses.,Genus: Coronavirus,PROCESS_OF,Family suidae
"The characterization of proteolytic processing, DUB and IFN antagonist activities of MERS-CoV PLpro would reveal the interactions between MERS-CoV and its host, and be applicable to develop strategies targeting PLpro for the effective control of MERS-CoV infection.",human leukocyte interferon|IFNA1,INHIBITS,Endopeptidases|ERVK-7|ERVK-8|ERVK-10|ERVK-9|ERVK-21|ERVK-18|ERVK-25|ERVK-24|ERVK-19
"In cells inoculated with EBNV, cytoplasmic immunofluorescence was found using antisera for human coronaviruses OC43 and 229E as well as the porcine transmissible gastroenteric virus and avian (chicken) bronchitis virus.",Immune Sera,TREATS,"Coronavirus OC43, Human"
Monospecific antisera were prepared in mice to human coronavirus OC43 and neonatal calf diarrhoea coronavirus (NCDCV) which had been previously adapted to growth in suckling mouse brain.,Immune Sera,TREATS,Neonatal calf diarrhea coronavirus
Monospecific antisera were prepared in mice to human coronavirus OC43 and neonatal calf diarrhoea coronavirus (NCDCV) which had been previously adapted to growth in suckling mouse brain.,Immune Sera,TREATS,"Coronavirus OC43, Human"
Monospecific antisera were prepared in mice to human coronavirus OC43 and neonatal calf diarrhoea coronavirus (NCDCV) which had been previously adapted to growth in suckling mouse brain.,Immune Sera,TREATS,Mus
"In cells inoculated with EBNV, cytoplasmic immunofluorescence was found using antisera for human coronaviruses OC43 and 229E as well as the porcine transmissible gastroenteric virus and avian (chicken) bronchitis virus.",Immunofluorescence,USES,Immune Sera
"We review here efforts to develop next-generation vaccines through targeting these key immunomodulatory genes in influenza virus, coronaviruses, respiratory syncytial virus, measles virus, and mumps virus.",Immunomodulators,TREATS,Orthomyxoviridae
"We review here efforts to develop next-generation vaccines through targeting these key immunomodulatory genes in influenza virus, coronaviruses, respiratory syncytial virus, measles virus, and mumps virus.",Immunomodulators,TREATS,Respiratory syncytial virus
"We review here efforts to develop next-generation vaccines through targeting these key immunomodulatory genes in influenza virus, coronaviruses, respiratory syncytial virus, measles virus, and mumps virus.",Immunomodulators,TREATS,Genus: Coronavirus
"We review here efforts to develop next-generation vaccines through targeting these key immunomodulatory genes in influenza virus, coronaviruses, respiratory syncytial virus, measles virus, and mumps virus.",Immunomodulators,TREATS,Measles virus
"We review here efforts to develop next-generation vaccines through targeting these key immunomodulatory genes in influenza virus, coronaviruses, respiratory syncytial virus, measles virus, and mumps virus.",Immunomodulators,TREATS,Mumps virus
"INTERPRETATION: In patients with severe MERS-CoV infection, ribavirin and interferon alfa-2a therapy is associated with significantly improved survival at 14 days, but not at 28 days.",Interferon Alfa-2a,ISA,Therapeutic procedure
"INTERPRETATION: In patients with severe MERS-CoV infection, ribavirin and interferon alfa-2a therapy is associated with significantly improved survival at 14 days, but not at 28 days.",Interferon Alfa-2a,TREATS,Coronavirus Infections
"INTERPRETATION: In patients with severe MERS-CoV infection, ribavirin and interferon alfa-2a therapy is associated with significantly improved survival at 14 days, but not at 28 days.",Interferon Alfa-2a,TREATS,Patients
Ribavirin and interferon alfa-2a for severe Middle East respiratory syndrome coronavirus infection: a retrospective cohort study.,Interferon Alfa-2a,TREATS,Coronavirus Infections
"Taken together, our results suggest that rapid production of type I IFNs by pDCs is essential for the control of potentially lethal coronavirus infections.",Interferons,TREATS,Coronavirus Infections
"However, mutation of the Arg132 residue to Leu, a conserved residue in other coronaviruses at the same position, reduced the recovery rate of the in vitro-synthesized transcripts.",Leucine,TREATS,Genus: Coronavirus
This is a case report of use of lopinavir/ritonavir-based combination antiviral therapy for a patient with MERS-CoV infection.,Lopinavir+ritonavir,TREATS,Coronavirus Infections
This is a case report of use of lopinavir/ritonavir-based combination antiviral therapy for a patient with MERS-CoV infection.,Lopinavir+ritonavir,TREATS,Patients
Mutational analysis in a replicon system showed that the N7-MTase activity was important for SARS virus replication/transcription and can thus be used as an attractive drug target to develop antivirals for control of coronaviruses including the deadly SARS virus.,mutation analysis,USES,Pharmaceutical Preparations
"Putative papain-like protease domains, a picornavirus 3C-like protease domain, two hydrophobic domains, and a domain ""X"" of unknown function, previously identified in other coronaviruses (1-3), are also present in ORF 1a of MHV-A59.",Papain,TREATS,Genus: Coronavirus
"To further evaluate the antiviral activity of well-defined drugs in primary antigen presenting cells (APCs), three compounds (chloroquine, chlorpromazine and toremifine), each with broad-spectrum antiviral activity in immortalized cell lines, were evaluated in MDMs and MDDCs to determine their antiviral effect on MERS-CoV infection.",Pharmaceutical Preparations,AFFECTS,Coronavirus Infections
"To further evaluate the antiviral activity of well-defined drugs in primary antigen presenting cells (APCs), three compounds (chloroquine, chlorpromazine and toremifine), each with broad-spectrum antiviral activity in immortalized cell lines, were evaluated in MDMs and MDDCs to determine their antiviral effect on MERS-CoV infection.",Pharmaceutical Preparations,COEXISTS_WITH,Ecstasy - drug
"Currently, no drug has been clinically approved to control MERS-CoV infection.",Pharmaceutical Preparations,NEG_TREATS,Coronavirus Infections
"This feature results to be common to all coronaviruses, suggesting potential targeting for drugs preventing coronavirus-related infections.",Pharmaceutical Preparations,PREVENTS,Coronavirus Infections
"OBJECTIVES: In order to find drugs that treat coronavirus infections, including SARS, we screened traditional medicinal herbal extracts and evaluated their antiviral activities on coronavirus replication.",Pharmaceutical Preparations,TREATS,Coronavirus Infections
Repurposing of clinically developed drugs for treatment of Middle East respiratory syndrome coronavirus infection.,Pharmaceutical Preparations,TREATS,Coronavirus Infections
"The coronavirus main protease, M(pro), is considered a major target for drugs suitable to combat coronavirus infections including the severe acute respiratory syndrome (SARS).",Pharmaceutical Preparations,TREATS,Coronavirus Infections
This type of study is an important step in the repurposing of approved drugs for treatment of emerging coronaviruses.,Pharmaceutical Preparations,TREATS,Genus: Coronavirus
"Using the estimated LD50 and ID50 data, we dissected the kinetics of viral tissue distribution and pathology in mice challenged with 10 LD50 of virus and utilized the model for preclinical evaluation of a vaccine and drug for treatment of MERS-CoV infection.",Pharmaceutical Preparations,TREATS,Coronavirus Infections
"In this study, a detailed in silico analysis of the ORF1ab, encoding the 7,182-amino acid replicase polyprotein in the CoV-HKU1 genome showed that the replicase polyprotein of CoV-HKU1 is cleaved by its papain-like proteases and 3C-like protease (3CL(pro)) into 16 polypeptides homologous to the corresponding polypeptides in other coronaviruses.",Polyproteins,PART_OF,replicase
"In this study, a detailed in silico analysis of the ORF1ab, encoding the 7,182-amino acid replicase polyprotein in the CoV-HKU1 genome showed that the replicase polyprotein of CoV-HKU1 is cleaved by its papain-like proteases and 3C-like protease (3CL(pro)) into 16 polypeptides homologous to the corresponding polypeptides in other coronaviruses.",Polyproteins,PART_OF,replicase
"Here, we identify a novel glycan receptor for enteric avian coronaviruses, which will further support the development of vaccines.",Polysaccharides,TREATS,Enteric coronavirus
Vaccines for porcine epidemic diarrhea virus and other swine coronaviruses.,Porcine epizootic diarrhea virus,ISA,Genus: Coronavirus
Vaccines for porcine epidemic diarrhea virus and other swine coronaviruses.,Porcine epizootic diarrhea virus,PROCESS_OF,Family suidae
Altered pathogenesis of porcine respiratory coronavirus in pigs due to immunosuppressive effects of dexamethasone: implications for corticosteroid use in treatment of severe acute respiratory syndrome coronavirus.,Porcine Respiratory Coronavirus,PROCESS_OF,Family suidae
"Coronaviruses resistant to a 3C-like protease inhibitor are attenuated for replication and pathogenesis, revealing a low genetic barrier but high fitness cost of resistance.",Protease Inhibitor,NEG_TREATS,Genus: Coronavirus
Mutational analysis in a replicon system showed that the N7-MTase activity was important for SARS virus replication/transcription and can thus be used as an attractive drug target to develop antivirals for control of coronaviruses including the deadly SARS virus.,Replicon,AFFECTS,Virus Replication
Ribavirin and interferon alfa-2a for severe Middle East respiratory syndrome coronavirus infection: a retrospective cohort study.,Ribavirin,TREATS,Coronavirus Infections
Identification of phenanthroindolizines and phenanthroquinolizidines as novel potent anti-coronaviral agents for porcine enteropathogenic coronavirus transmissible gastroenteritis virus and human severe acute respiratory syndrome coronavirus.,SARS coronavirus,PROCESS_OF,Human
These findings indicate that both 2F9 and YS110 are potential therapeutic agents for MERS-CoV infection.,Therapeutic agent (substance),TREATS,Coronavirus Infections
We believe Epac-1 inhibitors deserve further study as potential therapeutic agents for MERS-CoV infection.,Therapeutic agent (substance),TREATS,Coronavirus Infections
"INTERPRETATION: In patients with severe MERS-CoV infection, ribavirin and interferon alfa-2a therapy is associated with significantly improved survival at 14 days, but not at 28 days.",Therapeutic procedure,USES,Interferon Alfa-2a
"The production of effective and safe vaccines to prevent SARS has led to the development of promising vaccine candidates, in contrast to the design of vaccines for other coronaviruses, that in general has been less successful.",Vaccines,PREVENTS,Severe Acute Respiratory Syndrome
A vaccine for equine coronavirus (ECoV) is so far unavailable.,Vaccines,TREATS,Equine coronavirus
"Importantly, this hDPP4-expressing transgenic mouse model will be applicable for studying the pathogenesis of MERS-CoV infection and investigating the efficacy of vaccines and antiviral agents designed to combat MERS-CoV infection.",Vaccines,TREATS,Coronavirus Infections
The development of vaccines against SARS corona virus in mice and SCID-PBL/hu mice.,Vaccines,TREATS,"Mouse, SCID-hu"
The development of vaccines against SARS corona virus in mice and SCID-PBL/hu mice.,Vaccines,TREATS,SARS coronavirus
The development of vaccines against SARS corona virus in mice and SCID-PBL/hu mice.,Vaccines,TREATS,Mus
"The production of effective and safe vaccines to prevent SARS has led to the development of promising vaccine candidates, in contrast to the design of vaccines for other coronaviruses, that in general has been less successful.",Vaccines,TREATS,Genus: Coronavirus
The recent introduction of the porcine epidemic diarrhea virus (PEDV) into the North American swine herd has highlighted again the need for effective vaccines for swine coronaviruses.,Vaccines,TREATS,Genus: Coronavirus
"The spread of severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV) into human populations demonstrates the zoonotic potential of emerging coronaviruses, and there are currently no vaccines or effective antivirals for human coronaviruses.",Vaccines,TREATS,Human coronavirus
This work provides useful information for future development of differential serologic diagnosis and vaccines for coronaviruses with different S protein sequences.,Vaccines,TREATS,Genus: Coronavirus
"Using the estimated LD50 and ID50 data, we dissected the kinetics of viral tissue distribution and pathology in mice challenged with 10 LD50 of virus and utilized the model for preclinical evaluation of a vaccine and drug for treatment of MERS-CoV infection.",Vaccines,TREATS,Coronavirus Infections
Vaccines for porcine epidemic diarrhea virus and other swine coronaviruses.,Vaccines,TREATS,Genus: Coronavirus
Vaccines for porcine epidemic diarrhea virus and other swine coronaviruses.,Vaccines,TREATS,Porcine epizootic diarrhea virus
Vaccines for porcine epidemic diarrhea virus and other swine coronaviruses.,Vaccines,TREATS,Porcine epizootic diarrhea virus
